ud,he,d,woman
0,30.76,1,0
0,31.25,1,0
0,6.666667,1,0
0,15.06667,1,0
0,16.92,1,0
0,14.425,1,0
0,20.175,1,0
0,12.7,1,0
0,26.17778,1,0
0,20.96,1,0
0,14.62,1,0
0,23.08571,1,0
0,19.225,1,0
0,18.275,1,0
0,30.65,1,0
0,27.875,1,0
0,16.25,1,0
0,12.175,1,0
0,14.63043,1,0
0,28.57143,1,0
0,48.075,1,0
0,15.38333,1,0
0,18,1,0
0,34.62,1,0
0,10.83333,1,0
0,23.225,1,0
0,32.05,1,0
0,22.6,1,0
0,6.16,1,0
0,12.72,1,0
0,34.625,1,0
0,23.075,1,0
0,12.72,1,0
0,25.475,1,0
0,30.76,1,0
0,31.47273,1,0
0,16.825,1,0
0,24.05,1,0
0,13.63636,1,0
0,14.9,1,0
0,31.45455,1,0
0,16.35,1,0
0,9.125,1,0
0,20.18421,1,0
0,17.4375,1,0
0,42.73333,1,0
0,13.71667,1,0
0,43.25,1,0
0,18.06,1,0
0,17.44444,1,0
0,14.4,1,0
0,17.3,1,0
0,48.075,1,0
0,25.64444,1,0
0,14.41667,1,0
0,5.75,1,0
0,24.05,1,0
0,13,1,0
0,19,1,0
0.6923077,0,0,0
0,6.030769,1,0
0,7.4,1,0
0,17.75,1,0
0,38.46,1,0
0,5.766667,1,0
0,26.07576,1,0
0,17,1,0
0,7.5,1,0
0,17.2,1,0
0,32.05,1,0
0,37.975,1,0
0,21,1,0
0,34.96363,1,0
0,10,1,0
0,31.73333,1,0
0,21.625,1,0
0,20.4,1,0
0,12.8,1,0
0,17.3,1,0
0,12.8,1,0
0,38.46,1,0
0,31.725,1,0
0,6,1,0
0,32.05,1,0
0,26.45,1,0
0,32.04445,1,0
0,14.28571,1,0
0,17.3,1,0
5.769231,0,0,0
0,15.49091,1,0
0,32.05,1,0
0,16.35,1,0
0,6.35,1,0
0,15.38333,1,0
0,32.05,1,0
0,23.96,1,0
0,24.55263,1,0
0,32.05,1,0
0,22.23333,1,0
0,20,1,0
0,12.60417,1,0
0,5.208333,1,0
0,12.52857,1,0
0,13.85,1,0
0,23.75,1,0
0,15.875,1,0
0,33.65,1,0
0,11.33846,1,0
0,31.25,1,0
0,17.85714,1,0
0,21.625,1,0
0,15.94737,1,0
0,9.523809,1,0
0,18.45,1,0
0,28.84,1,0
0,4.25,1,0
0,15.38333,1,0
0,25,1,0
0,32.05,1,0
0,18.42105,1,0
0,21.15,1,0
0,21.45,1,0
0,7,1,0
0,28.85,1,0
0,14.83333,1,0
0,21.625,1,0
0,9.821428,1,0
0,36,1,0
0,20,1,0
0,12.5,1,0
0,32.05,1,0
0,7.107692,1,0
0,25,1,0
0,19.05,1,0
0,32.05,1,0
0,14.9,1,0
0,15.625,1,0
0,25.225,1,0
0,26.45,1,0
0,24.76,1,0
0,38.46,1,0
0,18.75,1,0
0,16,1,0
0,32.05,1,0
0,23.55,1,0
0,43.75,1,0
0,10.64,1,0
0,3.2,1,0
0,20,1,0
0,15.575,1,0
0,19.24,1,0
0,43.75,1,0
0,14.13333,1,0
0,30.425,1,0
0,21.33333,1,0
0,32.05,1,0
0,14.425,1,0
0,9.614285,1,0
0,19.72,1,0
0,18.225,1,0
0,32.48889,1,0
0,24,1,0
0,15.38461,1,0
0,17.08889,1,0
0,27.47,1,0
0,32.59,1,0
0,18.75,1,0
0,22.2,1,0
0,34.96363,1,0
0,24.025,1,0
0,43.25,1,0
0,27,1,0
9,0,0,0
0,19.22222,1,0
0,14.41667,1,0
0,18.46,1,0
0,31.525,1,0
0,38.46,1,0
0,38.46,1,0
0,13.46,1,0
0,23.90909,1,0
0,12,1,0
0,16.44444,1,0
0,20.2,1,0
0,21.45,1,0
0,23.075,1,0
0,33.75,1,0
0,13.825,1,0
0,18.525,1,0
0,18.18919,1,0
0,25.95,1,0
0,12.7,1,0
0,33.65,1,0
0,11.73,1,0
0,38.46,1,0
0,24.025,1,0
0,11.73,1,0
0,14.375,1,0
0,8.2,1,0
0,11.35,1,0
0,10,1,0
0,33.5,1,0
0,24.05,1,0
0,10.63333,1,0
0,34.22857,1,0
0,20.83333,1,0
0,19,1,0
0,26.45,1,0
0,12.3,1,0
0,10.8,1,0
0,11.55,1,0
0,31.25,1,0
0,10.15,1,0
0,6.925,1,0
0,12.5,1,0
0,11.54,1,0
0,34.6,1,0
0,30.775,1,0
0,17.3,1,0
0,15.24,1,0
0,28.02857,1,0
0,23.06667,1,0
0,13.46,1,0
0,25.1,1,0
0,11.74545,1,0
0,48.075,1,0
0,10.1,1,0
0,52.5,1,0
0,19.23333,1,0
0,28.85,1,0
0,15.14894,1,0
0,38.46,1,0
0,33.45,1,0
0,19.23077,1,0
0,46.8,1,0
0,19.22222,1,0
0,21.625,1,0
6.461538,0,0,0
0,11.11111,1,0
0,24.03333,1,0
0,16.43636,1,0
0,19.225,1,0
0,12,1,0
0,12,1,0
0,9.4,1,0
0,34.625,1,0
0,48.075,1,0
0,22.6,1,0
0,1.666667,1,0
0,5.909091,1,0
0,20.375,1,0
0,11,1,0
0,9.6,1,0
0,29.72727,1,0
0,33,1,0
0,13.45,1,0
0,31.11111,1,0
0,14.76,1,0
0,23.06667,1,0
0,23.55,1,0
0,20.3,1,0
0,30.76,1,0
0,27.77778,1,0
0,20.83333,1,0
0,33.21818,1,0
0,33.65,1,0
0,18.8,1,0
0,13.35,1,0
0,19.6,1,0
0,25,1,0
0,10,1,0
0,6.92,1,0
0,15.875,1,0
0,31.25,1,0
0,5.291667,1,0
0,30.36842,1,0
0,18.75,1,0
0,22,1,0
0,25.52,1,0
0,11.21667,1,0
0,21.625,1,0
0,5.045455,1,0
0,23.55,1,0
0,19.7,1,0
0,32.05,1,0
2.538461,0,0,0
0,14,1,0
0,18.275,1,0
0,16.46,1,0
0,9.225,1,0
1.384615,0,0,0
0,11,1,1
0.2307692,0,0,1
0,22.51429,1,1
0,23.64865,1,1
0,12,1,1
